width,height,area,success,coverage,stepsUsed,ratio
203,1,203,true,203,385,1.896551724137931
1,204,204,true,204,424,2.0784313725490198
204,1,204,true,204,386,1.892156862745098
1,205,205,true,205,425,2.073170731707317
205,1,205,true,205,387,1.8878048780487804
1,206,206,true,206,426,2.0679611650485437
206,1,206,true,206,388,1.883495145631068
1,207,207,true,207,427,2.0628019323671496
207,1,207,true,207,389,1.8792270531400965
1,208,208,true,208,428,2.0576923076923075
208,1,208,true,208,390,1.875
1,209,209,true,209,429,2.0526315789473686
209,1,209,true,209,391,1.8708133971291867
1,210,210,true,210,430,2.0476190476190474
210,1,210,true,210,392,1.8666666666666667
1,211,211,true,211,431,2.042654028436019
211,1,211,true,211,393,1.8625592417061612
1,212,212,true,212,432,2.0377358490566038
212,1,212,true,212,394,1.8584905660377358
1,213,213,true,213,433,2.032863849765258
213,1,213,true,213,395,1.8544600938967135
1,214,214,true,214,434,2.02803738317757
214,1,214,true,214,396,1.8504672897196262
1,215,215,true,215,435,2.0232558139534884
215,1,215,true,215,397,1.8465116279069766
1,216,216,true,216,436,2.0185185185185186
216,1,216,true,216,398,1.8425925925925926
1,217,217,true,217,437,2.013824884792627
217,1,217,true,217,399,1.8387096774193548
1,218,218,true,218,438,2.0091743119266057
218,1,218,true,218,400,1.834862385321101
1,219,219,true,219,439,2.0045662100456623
219,1,219,true,219,401,1.8310502283105023
1,220,220,true,220,440,2.0
220,1,220,true,220,402,1.8272727272727274
1,221,221,true,221,441,1.995475113122172
221,1,221,true,221,403,1.8235294117647058
1,222,222,true,222,442,1.990990990990991
222,1,222,true,222,405,1.8243243243243243
1,223,223,true,223,444,1.9910313901345291
223,1,223,true,223,443,1.9865470852017937
1,224,224,true,224,446,1.9910714285714286
224,1,224,true,224,445,1.9866071428571428
1,225,225,true,225,449,1.9955555555555555
225,1,225,true,225,447,1.9866666666666666
1,226,226,true,226,451,1.9955752212389382
226,1,226,true,226,448,1.9823008849557522
1,227,227,true,227,452,1.9911894273127753
227,1,227,true,227,450,1.9823788546255507
1,228,228,true,228,456,2.0
228,1,228,true,228,453,1.986842105263158
1,229,229,true,229,458,2.0
229,1,229,true,229,454,1.982532751091703
1,230,230,true,230,459,1.9956521739130435
230,1,230,true,230,455,1.9782608695652173
1,231,231,true,231,460,1.9913419913419914
231,1,231,true,231,457,1.9783549783549783
1,232,232,true,232,466,2.0086206896551726
232,1,232,true,232,461,1.9870689655172413
1,233,233,true,233,468,2.0085836909871246
233,1,233,true,233,462,1.9828326180257512
1,234,234,true,234,469,2.0042735042735043
234,1,234,true,234,463,1.9786324786324787
1,235,235,true,235,470,2.0
235,1,235,true,235,464,1.974468085106383
1,236,236,true,236,471,1.9957627118644068
236,1,236,true,236,465,1.9703389830508475
1,237,237,true,237,472,1.9915611814345993
237,1,237,true,237,467,1.970464135021097
1,238,238,true,238,480,2.0168067226890756
238,1,238,true,238,473,1.9873949579831933
1,239,239,true,239,482,2.01673640167364
239,1,239,true,239,474,1.9832635983263598
1,240,240,true,240,483,2.0125
240,1,240,true,240,475,1.9791666666666667
1,241,241,true,241,484,2.008298755186722
241,1,241,true,241,476,1.9751037344398341
1,242,242,true,242,485,2.0041322314049586
242,1,242,true,242,477,1.9710743801652892
1,243,243,true,243,486,2.0
243,1,243,true,243,478,1.9670781893004115
1,244,244,true,244,487,1.9959016393442623
244,1,244,true,244,479,1.9631147540983607
1,245,245,true,245,488,1.9918367346938775
245,1,245,true,245,481,1.963265306122449
1,246,246,true,246,500,2.032520325203252
246,1,246,true,246,489,1.9878048780487805
1,247,247,true,247,502,2.032388663967611
247,1,247,true,247,490,1.9838056680161944
1,248,248,true,248,503,2.028225806451613
248,1,248,true,248,491,1.9798387096774193
1,249,249,true,249,504,2.0240963855421685
249,1,249,true,249,492,1.9759036144578312
1,250,250,true,250,505,2.02
250,1,250,true,250,493,1.972
1,251,251,true,251,506,2.0159362549800797
251,1,251,true,251,494,1.9681274900398407
1,252,252,true,252,507,2.011904761904762
252,1,252,true,252,495,1.9642857142857142
1,253,253,true,253,508,2.007905138339921
253,1,253,true,253,496,1.9604743083003953
1,254,254,true,254,509,2.0039370078740157
254,1,254,true,254,497,1.9566929133858268
1,255,255,true,255,510,2.0
255,1,255,true,255,498,1.9529411764705882
1,256,256,true,256,511,1.99609375
256,1,256,true,256,499,1.94921875
1,257,257,true,257,512,1.9922178988326849
257,1,257,true,257,501,1.9494163424124513
1,258,258,true,258,526,2.0387596899224807
258,1,258,true,258,513,1.9883720930232558
1,259,259,true,259,528,2.0386100386100385
259,1,259,true,259,514,1.9845559845559846
1,260,260,true,260,529,2.0346153846153845
260,1,260,true,260,515,1.9807692307692308
1,261,261,true,261,530,2.0306513409961684
261,1,261,true,261,516,1.9770114942528736
1,262,262,true,262,531,2.0267175572519083
262,1,262,true,262,517,1.9732824427480915
1,263,263,true,263,532,2.0228136882129277
