width,height,area,success,coverage,stepsUsed,ratio
1,248,248,true,248,3585,14.455645161290322
248,1,248,true,248,268,1.0806451612903225
1,249,249,true,249,3591,14.421686746987952
249,1,249,true,249,269,1.0803212851405624
1,250,250,true,250,3609,14.436
250,1,250,true,250,271,1.084
1,251,251,true,251,3629,14.458167330677291
251,1,251,true,251,272,1.0836653386454183
1,252,252,true,252,3653,14.496031746031745
252,1,252,true,252,273,1.0833333333333333
1,253,253,true,253,3657,14.454545454545455
253,1,253,true,253,274,1.08300395256917
1,254,254,true,254,3687,14.515748031496063
254,1,254,true,254,275,1.0826771653543308
1,255,255,true,255,3719,14.584313725490196
255,1,255,true,255,277,1.0862745098039215
1,256,256,true,256,3757,14.67578125
256,1,256,true,256,278,1.0859375
1,257,257,true,257,3759,14.626459143968871
257,1,257,true,257,279,1.0856031128404668
1,258,258,true,258,3762,14.581395348837209
258,1,258,true,258,280,1.0852713178294573
1,259,259,true,259,3766,14.54054054054054
259,1,259,true,259,281,1.084942084942085
1,260,260,true,260,3772,14.507692307692308
260,1,260,true,260,282,1.0846153846153845
1,261,261,true,261,3780,14.482758620689655
261,1,261,true,261,283,1.0842911877394636
1,262,262,true,262,3792,14.473282442748092
262,1,262,true,262,284,1.083969465648855
1,263,263,true,263,3806,14.47148288973384
263,1,263,true,263,285,1.0836501901140685
1,264,264,true,264,3812,14.43939393939394
264,1,264,true,264,286,1.0833333333333333
1,265,265,true,265,3830,14.452830188679245
265,1,265,true,265,287,1.0830188679245283
1,266,266,true,266,3850,14.473684210526315
266,1,266,true,266,288,1.0827067669172932
1,267,267,true,267,3874,14.50936329588015
267,1,267,true,267,289,1.0823970037453183
1,268,268,true,268,3878,14.470149253731343
268,1,268,true,268,290,1.0820895522388059
1,269,269,true,269,3908,14.527881040892193
269,1,269,true,269,291,1.0817843866171004
1,270,270,true,270,3940,14.592592592592593
270,1,270,true,270,292,1.0814814814814815
1,271,271,true,271,3978,14.678966789667896
271,1,271,true,271,293,1.081180811808118
1,272,272,true,272,3980,14.632352941176471
272,1,272,true,272,295,1.0845588235294117
1,273,273,true,273,3983,14.58974358974359
273,1,273,true,273,296,1.0842490842490842
1,274,274,true,274,3987,14.55109489051095
274,1,274,true,274,297,1.083941605839416
1,275,275,true,275,3993,14.52
275,1,275,true,275,298,1.0836363636363637
1,276,276,true,276,4001,14.496376811594203
276,1,276,true,276,299,1.0833333333333333
1,277,277,true,277,4013,14.487364620938628
277,1,277,true,277,300,1.0830324909747293
1,278,278,true,278,4027,14.485611510791367
278,1,278,true,278,301,1.0827338129496402
1,279,279,true,279,4033,14.455197132616487
279,1,279,true,279,302,1.082437275985663
1,280,280,true,280,4051,14.467857142857143
280,1,280,true,280,303,1.082142857142857
1,281,281,true,281,4071,14.487544483985765
281,1,281,true,281,304,1.0818505338078293
1,282,282,true,282,4095,14.52127659574468
282,1,282,true,282,305,1.0815602836879432
1,283,283,true,283,4099,14.484098939929329
283,1,283,true,283,306,1.0812720848056536
1,284,284,true,284,4129,14.538732394366198
284,1,284,true,284,307,1.0809859154929577
1,285,285,true,285,4161,14.6
285,1,285,true,285,308,1.080701754385965
1,286,286,true,286,4199,14.681818181818182
286,1,286,true,286,309,1.0804195804195804
1,287,287,true,287,4201,14.637630662020905
287,1,287,true,287,310,1.0801393728222997
1,288,288,true,288,4204,14.597222222222221
288,1,288,true,288,311,1.0798611111111112
1,289,289,true,289,4208,14.560553633217992
289,1,289,true,289,312,1.0795847750865053
1,290,290,true,290,4214,14.53103448275862
290,1,290,true,290,313,1.0793103448275863
1,291,291,true,291,4222,14.508591065292096
291,1,291,true,291,315,1.0824742268041236
1,292,292,true,292,4234,14.5
292,1,292,true,292,316,1.082191780821918
1,293,293,true,293,4248,14.498293515358363
293,1,293,true,293,317,1.081911262798635
1,294,294,true,294,4254,14.46938775510204
294,1,294,true,294,318,1.0816326530612246
1,295,295,true,295,4272,14.48135593220339
295,1,295,true,295,319,1.0813559322033899
1,296,296,true,296,4292,14.5
296,1,296,true,296,320,1.0810810810810811
1,297,297,true,297,4316,14.531986531986531
297,1,297,true,297,321,1.0808080808080809
1,298,298,true,298,4320,14.496644295302014
